hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,240,2017,June,23,7,0,4,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,151.43,0,1,Canceled,2016-10-17
Resort Hotel,1,237,2017,May,18,3,0,1,2,0.0,0,HB,RUS,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient-Party,109.8,0,0,Canceled,2016-10-06
Resort Hotel,0,4,2016,May,23,31,0,1,1,0.0,0,BB,PRT,Corporate,Direct,1,0,1,A,A,0,No Deposit,,232.0,0,Transient,57.0,1,0,Check-Out,2016-06-01
Resort Hotel,0,9,2015,July,30,24,0,2,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,195.0,0,1,Check-Out,2015-07-26
City Hotel,0,65,2016,November,46,11,1,2,2,0.0,0,BB,POL,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,85.75,0,0,Check-Out,2016-11-14
City Hotel,0,9,2016,August,33,11,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,1,3,13,A,A,0,No Deposit,,40.0,0,Transient,75.0,0,0,Check-Out,2016-08-12
City Hotel,0,7,2016,March,10,3,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,217.0,0,Transient-Party,80.0,0,1,Check-Out,2016-03-04
City Hotel,0,0,2015,August,33,11,0,2,1,0.0,0,BB,MEX,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient-Party,144.0,0,0,Check-Out,2015-08-13
City Hotel,0,220,2016,September,38,16,1,2,3,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,27.0,,0,Transient,115.6,0,1,Check-Out,2016-09-19
City Hotel,1,15,2016,December,49,3,2,1,2,0.0,0,HB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,119.0,0,0,Canceled,2016-11-24
City Hotel,0,11,2016,February,8,14,2,5,1,0.0,0,BB,AGO,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,79.0,0,0,Check-Out,2016-02-21
Resort Hotel,0,84,2015,September,39,21,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,F,0,No Deposit,26.0,,0,Transient,114.48,0,0,Check-Out,2015-09-28
City Hotel,0,11,2017,January,3,21,2,5,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,147.9,0,2,Check-Out,2017-01-28
City Hotel,0,92,2016,March,10,5,2,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,27.0,,0,Transient,52.0,0,0,Check-Out,2016-03-12
Resort Hotel,0,12,2015,October,43,18,2,2,1,0.0,0,BB,,Corporate,Corporate,0,1,2,A,E,0,No Deposit,,292.0,0,Transient,48.0,1,0,Check-Out,2015-10-22
Resort Hotel,1,257,2017,May,19,9,0,4,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,91.0,0,0,Canceled,2016-09-20
City Hotel,1,364,2015,October,42,16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,109.0,0,0,Canceled,2015-03-25
City Hotel,0,44,2016,January,1,2,2,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,98.0,0,0,Check-Out,2016-01-05
City Hotel,1,317,2016,September,38,15,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,120.0,0,0,Canceled,2016-02-09
City Hotel,0,13,2016,October,42,9,2,1,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,177.62,0,1,Check-Out,2016-10-12
City Hotel,1,37,2016,March,10,1,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,95.4,0,1,Canceled,2016-02-22
Resort Hotel,0,8,2015,December,53,29,1,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,F,2,No Deposit,,,0,Transient,104.33,0,0,Check-Out,2016-01-04
City Hotel,0,36,2015,August,32,7,0,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-08-09
City Hotel,1,125,2017,April,16,20,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,33.0,,0,Transient,85.0,0,0,Canceled,2016-12-16
City Hotel,0,63,2016,April,15,6,1,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,128.35,0,0,Check-Out,2016-04-11
City Hotel,1,24,2016,March,13,24,0,1,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,159.0,0,0,Canceled,2016-03-01
City Hotel,0,16,2016,March,11,8,0,3,1,0.0,0,BB,FRA,Corporate,TA/TO,0,0,0,D,D,0,No Deposit,,209.0,0,Transient-Party,76.0,0,0,Check-Out,2016-03-11
City Hotel,1,393,2016,March,12,19,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,70.53,0,0,Canceled,2016-03-14
City Hotel,1,117,2017,May,18,5,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,1,Canceled,2017-04-20
Resort Hotel,1,236,2016,May,20,12,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315.0,,0,Transient-Party,48.0,0,0,Canceled,2015-09-28
Resort Hotel,0,192,2017,August,33,14,1,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,,0,Transient,215.33,0,2,Check-Out,2017-08-20
City Hotel,0,134,2016,March,13,22,0,4,2,0.0,0,BB,SWE,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,87.13,0,0,Check-Out,2016-03-26
City Hotel,1,133,2017,June,26,29,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,113.7,0,0,Canceled,2017-04-12
City Hotel,0,185,2017,August,35,30,1,4,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,1,Check-Out,2017-09-04
Resort Hotel,1,51,2017,August,35,27,2,0,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,290.0,0,1,Canceled,2017-07-11
Resort Hotel,0,0,2016,March,14,30,0,2,2,0.0,0,BB,,Direct,Direct,0,0,4,F,F,0,No Deposit,,,0,Transient,82.35,0,1,Check-Out,2016-04-01
City Hotel,0,30,2017,April,17,29,2,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,126.33,0,2,Check-Out,2017-05-02
Resort Hotel,0,283,2015,October,42,12,2,5,1,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,No Deposit,273.0,,0,Transient-Party,43.41,0,0,Check-Out,2015-10-19
City Hotel,0,98,2015,November,48,23,1,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,70.0,0,0,Check-Out,2015-11-26
City Hotel,0,98,2017,April,15,14,1,2,2,0.0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,138.0,,0,Transient,90.1,0,1,Check-Out,2017-04-17
City Hotel,1,51,2017,January,3,20,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.4,0,1,Canceled,2017-01-04
City Hotel,0,9,2015,August,34,21,1,2,2,2.0,0,BB,RUS,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,,0,Contract,115.67,0,3,Check-Out,2015-08-24
Resort Hotel,1,323,2017,June,22,3,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,72.0,0,0,Canceled,2016-07-21
Resort Hotel,0,10,2017,February,6,6,1,1,2,0.0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,E,0,No Deposit,,507.0,0,Transient-Party,90.0,0,0,Check-Out,2017-02-08
City Hotel,0,31,2017,June,26,27,0,1,1,0.0,0,BB,JPN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,2,Check-Out,2017-06-28
Resort Hotel,0,193,2017,May,18,1,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,42.95,0,2,Check-Out,2017-05-15
City Hotel,1,143,2017,May,18,4,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,56.0,,0,Transient,120.0,0,0,Canceled,2016-12-12
City Hotel,0,2,2016,August,33,7,1,0,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,171.0,0,4,Check-Out,2016-08-08
City Hotel,1,270,2016,September,40,29,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,108.8,0,1,Canceled,2016-08-21
Resort Hotel,0,27,2017,March,11,16,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,,0,Transient,68.0,0,1,Check-Out,2017-03-17
Resort Hotel,0,35,2016,February,9,26,1,2,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,76.0,0,0,Check-Out,2016-02-29
City Hotel,1,608,2017,March,10,9,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
Resort Hotel,0,4,2016,February,6,5,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,98.0,0,2,Check-Out,2016-02-07
City Hotel,1,135,2017,April,17,23,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,171.0,,0,Transient,90.0,0,0,Canceled,2016-12-09
City Hotel,1,147,2016,October,44,27,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,85.5,0,2,Canceled,2016-06-02
Resort Hotel,1,127,2017,February,7,18,0,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,77.4,0,2,Canceled,2016-12-13
City Hotel,1,93,2017,April,14,6,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,170.0,,0,Transient,95.0,0,0,Canceled,2017-01-03
City Hotel,0,16,2015,September,36,5,1,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,185.0,0,2,Check-Out,2015-09-07
City Hotel,0,4,2015,August,33,11,0,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,40.0,0,Transient,75.0,0,0,Check-Out,2015-08-13
City Hotel,1,2,2017,February,6,6,1,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,45.9,0,0,Canceled,2017-02-06
City Hotel,0,12,2016,July,28,9,2,2,2,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Transient,85.0,0,0,Check-Out,2016-07-13
City Hotel,0,230,2016,May,20,12,1,3,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,83.78,0,2,Check-Out,2016-05-16
Resort Hotel,1,59,2017,July,30,27,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,212.14,0,2,Canceled,2017-07-26
Resort Hotel,0,31,2016,December,53,30,0,2,2,0.0,0,HB,PRT,Groups,Direct,1,0,1,A,A,0,No Deposit,,,0,Transient-Party,305.0,0,1,Check-Out,2017-01-01
Resort Hotel,0,9,2016,January,6,31,2,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,35.11,0,1,Check-Out,2016-02-06
City Hotel,1,211,2016,May,23,31,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3.0,,46,Transient,115.0,0,0,Canceled,2015-12-18
Resort Hotel,0,7,2016,August,34,19,0,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,339.0,,0,Transient-Party,140.0,0,0,Check-Out,2016-08-20
City Hotel,0,14,2016,October,41,4,2,5,2,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient,153.03,0,0,Check-Out,2016-10-11
City Hotel,0,4,2016,January,5,25,1,3,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Transient,63.8,0,0,Check-Out,2016-01-29
Resort Hotel,0,35,2016,December,53,25,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,60.0,0,2,Check-Out,2016-12-28
City Hotel,1,42,2017,January,1,6,2,2,2,2.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,F,F,1,No Deposit,15.0,,0,Transient,118.32,0,0,Canceled,2016-12-19
City Hotel,0,6,2017,May,19,9,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,13,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2017-05-12
Resort Hotel,0,207,2017,August,33,14,1,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,173.45,1,2,Check-Out,2017-08-19
City Hotel,0,2,2016,January,2,4,1,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,75.0,0,1,Check-Out,2016-01-06
City Hotel,0,114,2016,July,29,11,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,81.26,0,0,Check-Out,2016-07-15
Resort Hotel,0,162,2016,March,13,24,0,3,2,0.0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,84.0,0,0,Check-Out,2016-03-27
City Hotel,0,35,2016,August,34,15,1,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,135.9,0,1,Check-Out,2016-08-17
City Hotel,0,16,2017,April,16,17,1,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,115.0,0,1,Check-Out,2017-04-21
Resort Hotel,1,105,2017,April,15,9,2,5,2,2.0,0,BB,BEL,Online TA,TA/TO,0,0,0,G,G,2,No Deposit,240.0,,0,Transient,149.29,0,0,Canceled,2017-03-19
City Hotel,0,57,2016,September,37,9,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,125.1,0,1,Check-Out,2016-09-12
City Hotel,1,38,2017,January,2,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,67.0,0,Transient,75.0,0,0,Canceled,2016-12-07
City Hotel,0,3,2016,September,39,19,1,1,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient-Party,95.0,0,0,Check-Out,2016-09-21
City Hotel,1,161,2016,March,13,25,1,2,3,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,Non Refund,12.0,,101,Transient,130.0,0,0,Canceled,2016-02-10
City Hotel,1,360,2015,October,42,12,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,0,102,2015,October,42,16,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0,Check-Out,2015-10-18
City Hotel,0,34,2016,March,10,4,2,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,65.0,0,0,Check-Out,2016-03-09
City Hotel,0,219,2017,May,19,9,0,2,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,2,Check-Out,2017-05-11
City Hotel,0,6,2017,February,5,4,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,3,Check-Out,2017-02-09
City Hotel,1,34,2016,April,16,12,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,86.0,,0,Transient,99.9,0,0,Canceled,2016-03-21
City Hotel,0,11,2017,May,19,8,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,4,A,D,1,No Deposit,,408.0,0,Transient,99.5,0,0,Check-Out,2017-05-10
City Hotel,0,32,2016,May,19,7,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,0,0,Check-Out,2016-05-08
City Hotel,1,304,2016,November,45,3,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,89.0,0,0,Canceled,2016-02-01
City Hotel,0,211,2017,August,31,4,2,4,2,2.0,0,HB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,256.5,0,0,Check-Out,2017-08-10
City Hotel,0,91,2017,August,33,17,0,1,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,230.0,0,2,Check-Out,2017-08-18
Resort Hotel,1,148,2015,October,43,24,0,1,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,47.0,0,0,Canceled,2015-06-26
Resort Hotel,1,40,2017,January,3,16,1,2,1,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,55.0,0,0,Canceled,2017-01-14
Resort Hotel,0,32,2016,April,17,19,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273.0,,0,Transient-Party,69.36,0,0,Check-Out,2016-04-26
Resort Hotel,0,131,2016,October,42,9,2,0,1,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,,,0,Transient-Party,55.0,0,0,Check-Out,2016-10-11
City Hotel,1,62,2017,April,14,6,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,135.0,0,0,Canceled,2017-02-03
City Hotel,0,109,2016,October,41,3,1,1,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-10-05
Resort Hotel,1,91,2015,August,31,1,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,241.0,,0,Transient,127.82,0,2,Canceled,2015-05-22
Resort Hotel,0,41,2015,September,40,30,4,10,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,142.0,,0,Contract,54.4,0,0,Check-Out,2015-10-14
City Hotel,1,125,2016,March,14,27,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,55.0,0,0,Canceled,2016-03-23
City Hotel,0,2,2015,September,39,24,2,4,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,2,No Deposit,1.0,,0,Transient-Party,170.0,0,0,Check-Out,2015-09-30
Resort Hotel,0,7,2017,January,3,21,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,55.0,1,1,Check-Out,2017-01-24
City Hotel,0,0,2016,January,1,2,1,1,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,86.0,0,0,Check-Out,2016-01-04
City Hotel,0,219,2015,September,36,4,2,4,1,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,3.0,,0,Transient-Party,78.33,0,0,Check-Out,2015-09-10
City Hotel,0,6,2017,June,26,30,0,1,2,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,160.0,0,1,Check-Out,2017-07-01
City Hotel,0,21,2017,July,30,24,1,0,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,1,Check-Out,2017-07-25
Resort Hotel,0,142,2016,May,20,8,4,6,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,65.7,0,1,Check-Out,2016-05-18
City Hotel,1,58,2016,May,20,12,1,3,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.65,0,0,Canceled,2016-03-25
Resort Hotel,0,4,2016,July,31,30,1,1,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient-Party,231.0,0,1,Check-Out,2016-08-01
City Hotel,1,246,2016,December,51,16,0,1,2,0.0,0,BB,SGP,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,63.75,0,0,Canceled,2016-08-30
City Hotel,0,3,2017,February,9,28,0,4,2,0.0,0,SC,IRN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,0,Check-Out,2017-03-04
City Hotel,1,46,2017,January,1,3,2,8,2,1.0,0,BB,AGO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.4,0,0,Canceled,2016-12-06
City Hotel,0,7,2016,May,21,21,1,1,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,3.0,,0,Transient-Party,91.0,0,1,Check-Out,2016-05-23
City Hotel,0,518,2017,August,34,26,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,229.0,,0,Transient-Party,0.0,0,0,Check-Out,2017-08-29
Resort Hotel,0,0,2015,November,48,23,1,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,38.0,0,0,Check-Out,2015-11-25
City Hotel,0,25,2016,April,16,16,2,1,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,127.67,0,2,Check-Out,2016-04-19
City Hotel,0,31,2016,November,48,25,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,57.59,0,1,Check-Out,2016-11-29
City Hotel,1,283,2015,July,31,27,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-02
Resort Hotel,0,0,2016,July,31,26,0,1,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,241.0,0,1,Check-Out,2016-07-27
Resort Hotel,0,7,2016,September,38,11,2,1,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient-Party,185.67,0,2,Check-Out,2016-09-14
City Hotel,1,158,2016,May,22,24,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,31,Transient,130.0,0,0,Canceled,2016-01-18
City Hotel,1,11,2017,July,30,28,0,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,1,Canceled,2017-07-22
Resort Hotel,0,21,2016,March,11,9,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,15.0,,0,Transient,34.4,0,1,Check-Out,2016-03-10
Resort Hotel,1,196,2016,December,53,30,1,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,308.0,0,Transient-Party,180.0,0,0,Canceled,2016-12-20
City Hotel,1,134,2017,June,23,7,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,,0,Transient,110.0,0,0,Canceled,2017-01-24
Resort Hotel,1,43,2015,December,53,31,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,80.0,0,0,Canceled,2015-12-23
City Hotel,1,73,2017,March,12,22,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,0,Canceled,2017-01-09
City Hotel,0,21,2017,March,13,26,2,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,107.1,0,0,Check-Out,2017-03-31
City Hotel,0,72,2017,June,23,10,2,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,0,Check-Out,2017-06-13
City Hotel,1,23,2016,August,36,28,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,123.8,0,0,Canceled,2016-08-06
City Hotel,0,151,2017,April,16,22,2,1,3,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,166.5,0,1,Check-Out,2017-04-25
City Hotel,0,20,2017,February,7,12,2,3,3,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,134.3,0,1,Check-Out,2017-02-17
City Hotel,1,38,2017,July,27,2,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,119.0,0,1,Canceled,2017-05-28
City Hotel,0,19,2015,October,42,12,1,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,126.0,0,0,Check-Out,2015-10-15
City Hotel,1,220,2017,July,28,12,0,3,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,156.6,0,1,Canceled,2017-05-17
